HudongItem1,relation,HudongItem2
普鲁士,official language,德语
彼得·杰克逊,sex or gender,男
冈比亚,instance of,国家
互联网文化管理暂行规定,language of work or name,汉语
国庆节,country,中华人民共和国
彼得·杰克逊,country of citizenship,新西兰
赵薇,country of citizenship,中华人民共和国
河北大学教育学院,language of work or name,汉语
软腭音,subclass of,辅音
自言自语,instance of,歌曲
沸点,greater than,熔点
阴阳师,country of origin,中华人民共和国
规则,different from,原理
Style,country of origin,美国
普鲁士,continent,欧洲
爱琴海,part of,地中海
伯努利,different from,伯努利
德胜门,country,中华人民共和国
浅仓南,present in work,棒球英豪
迷雾,country of origin,美国
冈比亚,official language,英语
梁实秋,languages spoken written or signed,汉语
浅仓南,present in work,Touch
Alex,language of work or name,英语
迷雾,original language of film or TV show,英语
梁实秋,occupation,作家
普鲁士,capital,柏林
李敏华,country of citizenship,中华人民共和国
迷雾,language of work or name,英语
阴阳师,narrative location,日本
赵薇,occupation,歌手
冈比亚,continent,非洲
梁实秋,employer,北京大学
阴阳师,platform,iOS
冈比亚,country,冈比亚
李敏华,spouse,吴仲华
阴阳师,platform,Android
彼得·杰克逊,languages spoken written or signed,英语
普鲁士,religion,新教
李敏华,occupation,物理学家
赵薇,religion,佛教
冈比亚,lowest point,大西洋
梁实秋,educated at,清华大学
梁实秋,educated at,哈佛大学
李敏华,occupation,工程师
彼得·杰克逊,occupation,作家
梁实秋,educated at,哥伦比亚大学
普鲁士,different from,俄罗斯
李敏华,employer,中国科学技术大学
爱琴海,basin country,希腊
爱琴海,country,希腊
李敏华,educated at,国立西南联合大学
爱琴海,located in or next to body of water,地中海
李敏华,educated at,清华大学
冈比亚,diplomatic relation,德国
冈比亚,diplomatic relation,美国
冈比亚,diplomatic relation,菲律宾
冈比亚,diplomatic relation,俄罗斯
冈比亚,diplomatic relation,匈牙利
冈比亚,member of,联合国
冈比亚,member of,世界贸易组织
冈比亚,member of,国际开发协会
冈比亚,member of,国际电信联盟
冈比亚,member of,世界气象组织
冈比亚,shares border with,塞内加尔
冈比亚,language used,英语
海尔-波普彗星,instance of,彗星
茅盾,sex or gender,男
江南,country,中华人民共和国
酚醛树脂,subclass of,酚醛树脂
茅盾,country of citizenship,中华人民共和国
音译,different from,音译
钱人元,country of citizenship,中华人民共和国
数据链路,instance of,数据传输
侯振挺,member of political party,中国共产党
钱人元,employer,浙江大学
伊丽莎白二世,country of citizenship,英国
盖叫天,occupation,歌手
荣格集团,instance of,商业
亨利五世,sex or gender,男
曹建猷,sex or gender,男
伊丽莎白二世,given name,伊丽莎白
亨里克亲王,sex or gender,男
绿色软件,subclass of,软件
亨利五世,country of citizenship,英格兰王国
曹建猷,country of citizenship,中华人民共和国
钱人元,educated at,浙江大学
美国有线电视新闻网,country,美国
亨里克亲王,country of citizenship,法国
朱塞佩·梅阿查,sex or gender,男
上市公司,subclass of,企业
张恩虬,country of citizenship,中华人民共和国
亨里克亲王,country of citizenship,丹麦
朱塞佩·梅阿查,country of citizenship,意大利
上市公司,subclass of,股份有限公司
亨利五世,noble title,公爵
曹建猷,occupation,工程师
青盲,has cause,紫外线
储存,subclass of,结构
GOFAI,subclass of,人工智能
Bliss,country,美国
瞿秋白,sex or gender,男
LG集团,legal form,股份有限公司
上市公司,subclass of,公司
瞿秋白,country of citizenship,中国
荣格集团,country,瑞士
茅盾,occupation,作家
陆宝麟,sex or gender,男
梁湘,sex or gender,男
茅盾,position held,中华人民共和国文化部
陆宝麟,country of citizenship,中华人民共和国
梁湘,country of citizenship,中华人民共和国
曹建猷,member of political party,中国共产党
美国有线电视新闻网,language used,英语
茅盾,educated at,北京大学
青盲,afflicts,鸟纲
茅盾,member of political party,中国共产党
梁湘,educated at,北京师范大学
梁湘,member of political party,中国共产党
瞿秋白,languages spoken written or signed,汉语
阿姆斯特丹,country,法国
瞿秋白,occupation,作家
亨里克亲王,native language,法语
伊丽莎白二世,languages spoken written or signed,英语
亨里克亲王,languages spoken written or signed,法语
朱塞佩·梅阿查,sport,足球
伊丽莎白二世,languages spoken written or signed,法语
亨里克亲王,languages spoken written or signed,丹麦语
伊丽莎白二世,writing languages,英语
亨里克亲王,languages spoken written or signed,英语
亨里克亲王,languages spoken written or signed,汉语
瞿秋白,member of political party,中国共产党
亨里克亲王,occupation,作家
亨里克亲王,educated at,巴黎大学
阿姆斯特丹,twinned administrative body,雅典
阿姆斯特丹,twinned administrative body,蒙特利尔
阿姆斯特丹,twinned administrative body,莫斯科
阿姆斯特丹,twinned administrative body,里约热内卢
伊丽莎白二世,conflict,第二次世界大战
伊丽莎白二世,uses,电子邮件
沙园街道,country,中华人民共和国
苏黎世州,official language,德语
中国足球协会,member of,国际足球联合会
经济学家,field of this occupation,经济学
沙园街道,located in the administrative territorial entity,海珠区
苏黎世州,country,瑞士
久夛良木健,sex or gender,男
尼古拉·哥白尼,sex or gender,男
婚前协议,original language of film or TV show,英语
苏黎世州,capital,苏黎世
久夛良木健,country of citizenship,日本
婚前协议,language of work or name,英语
人民日报,country,中华人民共和国
逻辑链路控制,part of,数据链路层
龙岗区,country,中华人民共和国
苏黎世州,located in the administrative territorial entity,瑞士
RIM,instance of,商业
人民日报,political alignment,中国共产党中央委员会
杨振宁,sex or gender,男
马克·扎克伯格,sex or gender,男
人民日报,owned by,中国共产党中央委员会
中国足球协会,owner of,中国国家足球队
杨振宁,country of citizenship,中华人民共和国
马克·扎克伯格,country of citizenship,美国
奥林匹亚,instance of,世界遗产
零调制解调器,different from,调制解调器
法老王,country,古埃及
人民日报,owned by,中国共产党
久夛良木健,languages spoken written or signed,日语
孙国华,sex or gender,男
南头街道,country,中华人民共和国
桃源县,country,中华人民共和国
杨振宁,country of citizenship,美国
奥林匹亚,culture,古希腊
法老王,applies to jurisdiction,古埃及
密钥,subclass of,工具
南头街道,capital of,南山区
奥林匹亚,country,希腊
中国国家大剧院,country,中华人民共和国
龙岗区,contains administrative territorial entity,坪山街道
博比·科林斯,sex or gender,男
萨拉丁,sex or gender,男
比如县,country,中华人民共和国
南头街道,located in the administrative territorial entity,南山区
龙岗区,contains administrative territorial entity,坑梓街道
久夛良木健,occupation,工程师
博比·科林斯,country of citizenship,英国
张闻天,sex or gender,男
人民日报,publisher,中国共产党中央委员会
鼠疫,symptoms,呕吐
张闻天,country of citizenship,中华人民共和国
RIM,country,加拿大
人民日报,country of origin,中华人民共和国
圣保罗州,part of,圣保罗州
杨振宁,father,杨武之
尼古拉·哥白尼,native language,德语
火星人玩转地球,country of origin,美国
奥林匹亚,heritage designation,世界遗产
人民日报,language of work or name,汉语
尼古拉·哥白尼,languages spoken written or signed,拉丁语
火星人玩转地球,original language of film or TV show,英语
圣保罗州,continent,南美洲
中国足球协会,sport,足球
圣保罗州,country,巴西
尼古拉·哥白尼,writing languages,拉丁语
圣保罗州,capital of,圣保罗州
杨振宁,languages spoken written or signed,英语
尼古拉·哥白尼,occupation,天文学家
杨振宁,occupation,物理学家
RIM,owner of,BlackBerry
尼古拉·哥白尼,occupation,经济学家
圣保罗州,located in the administrative territorial entity,圣保罗州
龙岗区,contains administrative territorial entity,深圳市大工业区
RIM,stock exchange,纳斯达克
马克·扎克伯格,native language,英语
尼古拉·哥白尼,occupation,物理学家
张闻天,member of political party,中国共产党
杨振宁,employer,清华大学
RIM,product or material produced,软件
尼古拉·哥白尼,occupation,哲学家
博比·科林斯,member of sports team,埃弗顿足球俱乐部
马克·扎克伯格,languages spoken written or signed,英语
马克·扎克伯格,occupation,程序员
尼古拉·哥白尼,occupation,医生
苏黎世州,shares border with,沙夫豪森州
马克·扎克伯格,occupation,首席执行官
尼古拉·哥白尼,field of work,数学
马克·扎克伯格,occupation,Facebook
尼古拉·哥白尼,field of work,力学
马克·扎克伯格,occupation,Instagram
尼古拉·哥白尼,field of work,经济学
博比·科林斯,sport,足球
马克·扎克伯格,member of,清华大学
萨拉丁,religion,伊斯兰教
马克·扎克伯格,educated at,哈佛大学
尼古拉·哥白尼,educated at,博洛尼亚大学
杨振宁,member of,中国科学院
杨振宁,educated at,国立西南联合大学
苏黎世州,different from,苏黎世
杨振宁,educated at,清华大学
杨振宁,educated at,芝加哥大学
杨振宁,educated at,北京大学
萨拉丁,conflict,哈丁战役
杨振宁,educated at,南开大学
杨振宁,award received,诺贝尔物理学奖
尼古拉·哥白尼,religion,天主教
火星人玩转地球,narrative location,纽约
圣保罗州,twinned administrative body,芝加哥
火星人玩转地球,narrative location,巴黎
杨振宁,nominated for,诺贝尔物理学奖
圣保罗州,twinned administrative body,里斯本
火星人玩转地球,KAVI rating,12
圣保罗州,twinned administrative body,墨西哥城
圣保罗州,twinned administrative body,圣地亚哥
圣保罗州,twinned administrative body,汉堡
圣保罗州,different from,圣保罗州
王震,sex or gender,男
王震,country of citizenship,中华人民共和国
扫除文盲工作条例,language of work or name,汉语
王震,country of citizenship,中国
温室效应,subclass of,过程
化学工业出版社,country,中华人民共和国
计春华,sex or gender,男
生化危机,country,日本
摆渡人,country of origin,新西兰
计春华,country of citizenship,中华人民共和国
外星生命,subclass of,生命
京瓷,industry,电子学
数据采集,part of,信息技术
摆渡人,original language of film or TV show,英语
天琴座流星雨,instance of,流星雨
风格,instance of,概念
京瓷,founded by,稻盛和夫
胡润,sex or gender,男
客户端,subclass of,软件
京瓷,country,日本
法师,sex or gender,男
胡润,country of citizenship,英国
天琴座流星雨,constellation,天琴座
塞班岛,country,美国
郭文魁,country of citizenship,中华人民共和国
为了你我愿意热爱整个世界,country of origin,中华人民共和国
视频点播,subclass of,广播
几内亚,instance of,国家
客户端,opposite of,服务器软件
空间技术,subclass of,技术
陶慧敏,country of citizenship,中华人民共和国
胡润,place of birth,卢森堡
中国美术学院,country,中华人民共和国
刘邦,sex or gender,男
空间技术,facet of,航天
桃源村,country,中华人民共和国
深圳中学,country,中华人民共和国
京瓷,subsidiary,KDDI
西属几内亚,instance of,殖民地
中等专业学校,country,中华人民共和国
刘邦,country of citizenship,中国
里卡多·卡瓦略,sex or gender,男
几内亚,official language,法语
M4,part of,银河系
西属几内亚,official language,西班牙语
刘邦,country of citizenship,西汉
里卡多·卡瓦略,country of citizenship,葡萄牙
郭文魁,educated at,北京大学
几内亚,anthem,自由
胡润,educated at,中国人民大学
京瓷,owner of,KDDI
塞班岛,located in or next to body of water,太平洋
法师,languages spoken written or signed,英语
摆渡人,narrative location,大洋洲
王震,member of political party,中国共产党
西属几内亚,continent,非洲
缩略词,language of work or name,汉语
里卡多·卡瓦略,given name,里卡多
省辖市,part of,省
西属几内亚,country,西班牙
王震,conflict,第二次世界大战
学士学位,applies to jurisdiction,美国
几内亚,continent,非洲
西属几内亚,basic form of government,殖民地
学士学位,applies to jurisdiction,加拿大
几内亚,country,几内亚
生化危机,genre,第三人称射击游戏
学士学位,applies to jurisdiction,英国
里卡多·卡瓦略,league,英格兰足球超级联赛
京瓷,product or material produced,软件
生化危机,publisher,CAPCOM
几内亚,lowest point,大西洋
生化危机,country of origin,日本
生化危机,developer,CAPCOM
生化危机,platform,Android
几内亚,diplomatic relation,德国
法师,enemy of,博士
几内亚,diplomatic relation,瑞典
几内亚,diplomatic relation,美国
生化危机,platform,iOS
几内亚,diplomatic relation,中华人民共和国
里卡多·卡瓦略,sport,足球
几内亚,member of,联合国
生化危机,platform,PlayStation
几内亚,member of,世界贸易组织
几内亚,member of,国际开发协会
刘邦,religion,道教
几内亚,member of,国际电信联盟
几内亚,member of,世界气象组织
几内亚,shares border with,利比里亚
几内亚,shares border with,塞内加尔
几内亚,shares border with,塞拉利昂
几内亚,language used,法语
太原理工大学现代科技学院,country,中华人民共和国
雨果·维文,sex or gender,男
王永民,sex or gender,男
艾伦·纽厄尔,sex or gender,男
钱钟韩,sex or gender,男
四川大学,country,中华人民共和国
中国网络通信集团公司,instance of,商业
雨果·维文,country of citizenship,澳大利亚
艾伦·纽厄尔,country of citizenship,美国
钱钟韩,country of citizenship,中华人民共和国
中国网络通信集团公司,instance of,企业
狮子座流星雨,instance of,流星雨
雨果·维文,country of citizenship,英国
中国网络通信集团公司,country,中华人民共和国
狮子座流星雨,constellation,狮子座
索尔·坎贝尔,sex or gender,男
朱子聪,sex or gender,男
中国网络通信集团公司,legal form,股份有限公司
索尔·坎贝尔,country of citizenship,英国
王永民,occupation,工程师
钱钟韩,occupation,物理学家
张小龙,sex or gender,男
朝鲜,continent,亚洲
中国网络通信集团公司,headquarters location,香港
language,subclass of,language
索尔·坎贝尔,country for sport,英格兰
王永民,educated at,中国科学技术大学
艾伦·纽厄尔,place of death,匹兹堡
钱钟韩,employer,浙江大学
亨利·勒贝格,sex or gender,男
雨果·维文,languages spoken written or signed,英语
王永民,member of political party,中国共产党
亨利·勒贝格,country of citizenship,法国
Lotion,location of formation,纽约
里瓦尔多,sex or gender,男
朝鲜,country,朝鲜王朝
language,part of,沟通
Song,writing system,汉字
里瓦尔多,country of citizenship,巴西
北美洲,part of,地球
张小龙,educated at,华中科技大学
Lotion,country of origin,美国
里瓦尔多,country of citizenship,西班牙
Song,different from,Song
里瓦尔多,country for sport,巴西
北美洲,located on terrain feature,北半球
Rock,country of origin,美国
language,studied by,语言学
亨利·勒贝格,place of death,巴黎
Rock,original language of film or TV show,英语
Excel,operating system,Android
索尔·坎贝尔,languages spoken written or signed,英语
亨利·勒贝格,languages spoken written or signed,法语
Excel,operating system,iOS
艾伦·纽厄尔,occupation,物理学家
亨利·勒贝格,writing languages,法语
里瓦尔多,family name,费雷拉
艾伦·纽厄尔,field of work,计算机科学
亨利·勒贝格,occupation,教授
里瓦尔多,languages spoken written or signed,意大利语
索尔·坎贝尔,league,英格兰足球超级联赛
亨利·勒贝格,field of work,数学分析
朝鲜,shares border with,南海
亨利·勒贝格,field of work,泛函分析
雨果·维文,residence,悉尼
里瓦尔多,award received,金球奖
朝鲜,replaces,朝鲜王朝
北美洲,shares border with,南美洲
艾伦·纽厄尔,educated at,普林斯顿大学
亨利·勒贝格,employer,巴黎大学
language,has part,language
里瓦尔多,member of sports team,巴塞罗那足球俱乐部
language,different from,language
朝鲜,has part,朝鲜半岛
朝鲜,different from,朝鲜半岛
索尔·坎贝尔,sport,足球
北美洲,has part,美国
北美洲,has part,加拿大
北美洲,has part,墨西哥
里瓦尔多,religion,伊斯兰教
里瓦尔多,sport,足球
Rock,filming location,洛杉矶
Rock,filming location,加利福尼亚州
吴秀波,sex or gender,男
吴秀波,country of citizenship,中华人民共和国
宋体,subclass of,字体
欧文·罗斯,sex or gender,男
科尔达,country,印度
保罗·布莱特纳,sex or gender,男
工具,subclass of,设备
中国社会工作协会,country,中华人民共和国
屏幕,country of origin,英格兰
欧文·罗斯,country of citizenship,美国
加蓬,instance of,国家
保罗·布莱特纳,country of citizenship,德国
刘崇乐,sex or gender,男
安全协议,uses,密码学
屏幕,language of work or name,英语
欧文·罗斯,country of citizenship,瑞典
平板,country,美国
秘鲁,instance of,国家
TouchWiz,instance of,用户界面
保罗·布莱特纳,country for sport,德国
工具,subclass of,产品
刘崇乐,country of citizenship,中华人民共和国
平板,language of work or name,英语
TouchWiz,instance of,软件
孟子,sex or gender,男
魁北克省,country,加拿大
新加坡管理大学,country,新加坡
贵族等级,subclass of,级别
马西莫·泰比,sex or gender,男
秘鲁,part of,南美洲
新加坡管理大学,located in the administrative territorial entity,新加坡
马西莫·泰比,country of citizenship,意大利
加蓬,official language,法语
TouchWiz,operating system,Android
保罗·布莱特纳,languages spoken written or signed,德语
秘鲁,official language,西班牙语
育儿,has part,教育
材料科学,studies,材料
加蓬,continent,非洲
刘崇乐,educated at,清华大学
加蓬,country,加蓬
孟子,occupation,哲学家
保罗·布莱特纳,league,德国足球甲级联赛
欧文·罗斯,field of work,生物学
孟子,occupation,作家
马西莫·泰比,league,英格兰足球超级联赛
秘鲁,continent,南美洲
孟子,field of work,哲学
保罗·布莱特纳,member of sports team,拜仁慕尼黑足球俱乐部
欧文·罗斯,employer,芝加哥大学
秘鲁,country,秘鲁
加蓬,lowest point,大西洋
novel,different from,小说
保罗·布莱特纳,member of sports team,拜仁慕尼黑足球俱乐部
欧文·罗斯,educated at,芝加哥大学
欧文·罗斯,conflict,第二次世界大战
孟子,different from,孟子
保罗·布莱特纳,sport,足球
秘鲁,diplomatic relation,意大利
加蓬,diplomatic relation,德国
秘鲁,diplomatic relation,巴西
加蓬,diplomatic relation,法国
马西莫·泰比,sport,足球
秘鲁,diplomatic relation,德国
秘鲁,diplomatic relation,澳大利亚
加蓬,diplomatic relation,美国
秘鲁,diplomatic relation,以色列
加蓬,diplomatic relation,中华人民共和国
秘鲁,diplomatic relation,塞尔维亚
秘鲁,diplomatic relation,英国
秘鲁,diplomatic relation,西班牙
加蓬,member of,联合国
秘鲁,diplomatic relation,美国
加蓬,member of,世界贸易组织
秘鲁,diplomatic relation,阿根廷
秘鲁,diplomatic relation,智利
加蓬,member of,国际开发协会
秘鲁,diplomatic relation,中华人民共和国
秘鲁,diplomatic relation,马来西亚
秘鲁,diplomatic relation,墨西哥
秘鲁,diplomatic relation,哥伦比亚
秘鲁,diplomatic relation,印度尼西亚
秘鲁,diplomatic relation,法国
秘鲁,diplomatic relation,日本
秘鲁,diplomatic relation,乌拉圭
秘鲁,diplomatic relation,瑞典
秘鲁,diplomatic relation,俄罗斯
秘鲁,diplomatic relation,希腊
加蓬,member of,国际电信联盟
秘鲁,member of,联合国
秘鲁,member of,世界贸易组织
秘鲁,member of,亚太经济合作组织
加蓬,member of,世界气象组织
秘鲁,member of,国际开发协会
秘鲁,member of,国际电信联盟
加蓬,shares border with,喀麦隆
加蓬,shares border with,刚果共和国
秘鲁,member of,世界气象组织
加蓬,language used,法语
秘鲁,shares border with,哥伦比亚
秘鲁,shares border with,巴西
秘鲁,shares border with,智利
秘鲁,language used,西班牙语
腾讯手机管家,instance of,软件
秘鲁,language used,Remo
鲍勃·巴克,sex or gender,男
消息,language of work or name,汉语
腾讯手机管家,developer,腾讯
蚩尤,sex or gender,男
郑湫泓,occupation,歌手
鲍勃·巴克,country of citizenship,美国
腾讯手机管家,operating system,Android
赛门铁克,instance of,商业
何香凝美术馆,country,中华人民共和国
广东财经大学,country,中华人民共和国
青藏铁路,part of,中国国家铁路集团有限公司
海因里希·罗雷尔,sex or gender,男
腾讯手机管家,operating system,iOS
赛门铁克,instance of,企业
新疆大学,country,中华人民共和国
沙海,country,中华人民共和国
青藏铁路,country,中华人民共和国
氘,subclass of,氢
海因里希·罗雷尔,country of citizenship,瑞士
李约瑟,sex or gender,男
文史哲,publisher,山东大学
青藏铁路,owned by,中国国家铁路集团有限公司
状态,instance of,概念
G14,instance of,基因
李约瑟,country of citizenship,英国
青藏铁路,operator,中国铁路青藏集团有限公司
鲍勃·巴克,languages spoken written or signed,英语
九寨沟国家级自然保护区,country,中华人民共和国
文史哲,country of origin,中华人民共和国
指令,subclass of,命令
状态,studied by,哲学
文史哲,language of work or name,汉语
哥德巴赫猜想,implies,陈氏定理
荷马,sex or gender,男
状态,studied by,逻辑学
赛门铁克,country,美国
海因里希·罗雷尔,occupation,物理学家
指令,part of,计算机程序
泡泡堂,genre,网络游戏
荷马,given name,荷马
时尚芭莎,country of origin,美国
海因里希·罗雷尔,field of work,物理学
Exif,language of work or name,日语
时尚芭莎,language of work or name,英语
赛门铁克,legal form,上市公司
李约瑟,languages spoken written or signed,英语
海因里希·罗雷尔,educated at,苏黎世联邦理工学院
海因里希·罗雷尔,award received,诺贝尔物理学奖
赛门铁克,owner of,诺顿
李约瑟,occupation,作家
荷马,occupation,作家
李约瑟,occupation,哲学家
李约瑟,field of work,生物化学
赛门铁克,stock exchange,纳斯达克
李约瑟,employer,剑桥大学
荷马,genre,史诗
赛门铁克,product or material produced,软件
李约瑟,member of,中国科学院
李约瑟,educated at,剑桥大学
李约瑟,nominated for,诺贝尔和平奖
君临天下,country,中华人民共和国
蒋梦麟,sex or gender,男
君临天下,located in the administrative territorial entity,香港
2002年韩日世界杯,country,日本
五毒,country of origin,香港
西班牙电信,instance of,上市公司
桃源镇,country,中华人民共和国
西班牙电信,instance of,商业
无线网络,subclass of,计算机网络
七雄争霸,instance of,网页游戏
宗越,manner of death,死刑
杨净如,country of citizenship,中华人民共和国
西班牙电信,instance of,企业
吉安,said to be the same as,胡安
安东尼奥·葛兰西,sex or gender,男
果壳网,country,中华人民共和国
蒋梦麟,languages spoken written or signed,汉语
数字签名,part of,密码学
艺术,subclass of,过程
休斯敦,country,美国
西班牙电信,country,西班牙
蒋梦麟,employer,北京大学
尚书,editor,孔子
天神,worshipped by,基督教
蒋梦麟,employer,浙江大学
宇宙大爆炸,studied by,相对论
安东尼奥·葛兰西,place of death,罗马
蒋梦麟,educated at,哥伦比亚大学
宇宙大爆炸,has effect,宇宙
蒋梦麟,educated at,浙江大学
安东尼奥·葛兰西,languages spoken written or signed,意大利语
安东尼奥·葛兰西,writing languages,意大利语
安东尼奥·葛兰西,occupation,哲学家
天神,said to be the same as,上帝
毛不易,sex or gender,男
拷贝,subclass of,过程
格林,language of work or name,英语
吴宓,sex or gender,男
子网,subclass of,计算机网络
吴宓,country of citizenship,中华人民共和国
曾江,sex or gender,男
拉尔夫·沃尔多·爱默生,sex or gender,男
Network,language of work or name,英语
SUSE,instance of,商业
曾江,country of citizenship,中华人民共和国
江西理工大学,country,中华人民共和国
天后庙,country,中华人民共和国
Engineer,language of work or name,英语
SUSE,instance of,企业
吴宓,languages spoken written or signed,汉语
圣加伦,official language,德语
天后庙,located in the administrative territorial entity,香港
货币政策,subclass of,经济政策
SUSE,industry,软件开发
维克多·雨果,sex or gender,男
本质,different from,实体
格林,said to be the same as,格林
吴宓,occupation,教师
圣加伦,continent,欧洲
Engineer,different from,Engineer
SUSE,country,德国
维克多·雨果,country of citizenship,法国
圣加伦,country,瑞士
郭采洁,occupation,歌手
本质,different from,实体
吴宓,employer,清华大学
八仙,has part,吕洞宾
吴宓,employer,南京大学
八仙,has part,何仙姑
吴宓,employer,四川大学
资本主义,item disputed by,马克思主义
吴宓,educated at,清华大学
吴宓,educated at,哈佛大学
维克多·雨果,place of death,巴黎
金手指,country of origin,英国
SUSE,headquarters location,纽伦堡
金手指,language of work or name,英语
SUSE,different from,SUSE
维克多·雨果,native language,法语
维克多·雨果,languages spoken written or signed,法语
维克多·雨果,writing languages,法语
维克多·雨果,occupation,作家
维克多·雨果,educated at,巴黎大学
维克多·雨果,work location,巴黎
Gary,country,美国
巨浪,subclass of,海浪
中国宝武钢铁集团有限公司,instance of,商业
厉有为,country of citizenship,中华人民共和国
欧元区,currency,欧元
欧元区,country of origin,欧洲联盟
法比奥·格罗索,sex or gender,男
陈庆宣,country of citizenship,中华人民共和国
中国宝武钢铁集团有限公司,country,中华人民共和国
涓子,country of citizenship,中华人民共和国
基础数学,subclass of,数学
游戏,subclass of,玩耍
反法西斯同盟,participant in,第二次世界大战
法比奥·格罗索,country of citizenship,意大利
欧元区,has part,比利时
基础数学,opposite of,应用数学
中国宝武钢铁集团有限公司,owned by,国务院国有资产监督管理委员会
欧元区,has part,德国
反法西斯同盟,conflict,第二次世界大战
陈庆宣,educated at,国立西南联合大学
厉有为,member of political party,中国共产党
欧元区,has part,爱沙尼亚
普通话,country,中华人民共和国
反法西斯同盟,has part,美国
法比奥·格罗索,place of birth,罗马
陈庆宣,member of political party,中国共产党
反法西斯同盟,has part,苏联
欧元区,has part,法国
反法西斯同盟,has part,英国
欧元区,has part,希腊
普通话,country,印度尼西亚
普通话,country,马来西亚
反法西斯同盟,has part,法国
欧元区,has part,意大利
普通话,country,菲律宾
反法西斯同盟,has part,波兰
欧元区,has part,立陶宛
游戏,has part,规则
普通话,country,新加坡
反法西斯同盟,has part,加拿大
欧元区,has part,卢森堡
普通话,located in the administrative territorial entity,香港
反法西斯同盟,has part,澳大利亚
反法西斯同盟,has part,新西兰
普通话,linguistic typology,分析语
欧元区,has part,奥地利
普通话,writing system,汉字
欧元区,has part,葡萄牙
反法西斯同盟,has part,比利时
欧元区,has part,斯洛伐克
反法西斯同盟,has part,卢森堡
法比奥·格罗索,sport,足球
反法西斯同盟,has part,挪威
欧元区,has part,西班牙
普通话,indigenous to,香港
反法西斯同盟,has part,墨西哥
反法西斯同盟,has part,哥伦比亚
韩非,sex or gender,男
韩非,country of citizenship,韩国
韩非,place of birth,韩国
明凯,sex or gender,男
常远,sex or gender,男
语音识别,subclass of,自然语言处理
导数,part of,微分学
常远,country of citizenship,中华人民共和国
绝代双骄,country of origin,香港
圭亚那,instance of,国家
大连东软信息学院,country,中华人民共和国
网络地址转换,subclass of,技术
导数,studied by,微分学
圭亚那,part of,南美洲
反间谍软件,subclass of,软件
富兰克林·罗斯福,sex or gender,男
高鑫,sex or gender,男
中等教育,subclass of,教育
圭亚那,official language,英语
富兰克林·罗斯福,country of citizenship,美国
大连,country,日本
中等教育,part of,教育制度
新的心跳,language of work or name,汉语
韩非,occupation,哲学家
释小龙,sex or gender,男
耶路撒冷,country,以色列
圆的测量,author,阿基米德
总部大楼,country,美国
释小龙,country of citizenship,中华人民共和国
少年,country of origin,日本
中等教育,followed by,高等教育
圭亚那,continent,南美洲
韩非,field of work,哲学
波兰,instance of,国家
少年,original language of film or TV show,日语
网络地址转换,uses,路由器
圭亚那,country,圭亚那
波兰,part of,中欧
圭亚那,located on terrain feature,南美洲
美国偶像,country of origin,美国
圭亚那,lowest point,大西洋
美国偶像,original language of film or TV show,英语
美国偶像,language of work or name,英语
耶路撒冷,country,以色列
波兰,continent,欧洲
波兰,country,波兰
圭亚那,diplomatic relation,巴西
圭亚那,diplomatic relation,德国
波兰,located in or next to body of water,波罗的海
美国偶像,website account on,YouTube
耶路撒冷,capital of,以色列
圭亚那,diplomatic relation,澳大利亚
圭亚那,diplomatic relation,巴巴多斯
圭亚那,diplomatic relation,墨西哥
富兰克林·罗斯福,native language,英语
圭亚那,diplomatic relation,美国
富兰克林·罗斯福,languages spoken written or signed,英语
圭亚那,diplomatic relation,俄罗斯
富兰克林·罗斯福,languages spoken written or signed,德语
圭亚那,diplomatic relation,印度
富兰克林·罗斯福,languages spoken written or signed,法语
富兰克林·罗斯福,writing languages,英语
富兰克林·罗斯福,writing languages,法语
齐桓公,sex or gender,男
卧龙工作室,owned by,腾讯
德谟克利特,sex or gender,男
鲁班,sex or gender,男
李灏,country of citizenship,中华人民共和国
留言板,subclass of,软件
Here地图,instance of,商业
布莱恩·泰勒,sex or gender,男
留言板,subclass of,计算机网络
郭应禄,country of citizenship,中华人民共和国
张嘉译,sex or gender,男
原因,subclass of,实体
Here地图,instance of,企业
德谟克利特,place of death,希腊
鲁班,occupation,建筑师
再生能源,country,印度
新西兰英语,instance of,方言
布莱恩·泰勒,country of citizenship,美国
留言板,subclass of,服务器
张嘉译,country of citizenship,中华人民共和国
鲁班,occupation,工程师
林群,country of citizenship,中华人民共和国
新西兰英语,subclass of,英语
吕氏春秋,has edition,吕氏春秋
张涵予,sex or gender,男
鲁班,occupation,哲学家
李灏,educated at,中山大学
Q版,instance of,术语
HomeKit,instance of,软件
艾里克敏捷龙,parent taxon,蜥臀目
张涵予,country of citizenship,中华人民共和国
execution,has cause,死刑
原因,has effect,过程
李灏,member of political party,中国共产党
熔点,less than,沸点
Thomas,sex or gender,男
execution,manifestation of,死刑
布莱恩·泰勒,place of birth,洛杉矶
郭应禄,member of,中国工程院
德谟克利特,occupation,哲学家
Thomas,country of citizenship,英国
Edward,language of work or name,英语
布莱恩·泰勒,languages spoken written or signed,英语
郭应禄,educated at,北京大学
亲爱的麻洋街,country of origin,中华人民共和国
海流能,subclass of,海洋能
尤尔根·克林斯曼,sex or gender,男
布莱恩·泰勒,occupation,作曲家
郭应禄,member of political party,中国共产党
德谟克利特,field of work,哲学
亚洲,part of,地球
尤尔根·克林斯曼,country of citizenship,德国
